time,open,high,low,close
2026-03-09T12:00:00+03:00,5096.71,5132.765,5079.93,5095.07
2026-03-09T16:00:00+03:00,5095.075,5116.28,5060.595,5104.74
2026-03-09T20:00:00+03:00,5104.76,5148.205,5089.135,5137.91
2026-03-10T00:00:00+03:00,5128.805,5156.21,5117.355,5131.225
2026-03-10T04:00:00+03:00,5131.155,5187.055,5124.835,5163.845
2026-03-10T08:00:00+03:00,5163.84,5195.405,5158.395,5183.48
2026-03-10T12:00:00+03:00,5183.58,5192.045,5156.5,5187.085
2026-03-10T16:00:00+03:00,5187.01,5238.775,5185.3,5227.58
2026-03-10T20:00:00+03:00,5227.585,5235.55,5160.65,5192.51
2026-03-11T00:00:00+03:00,5191.79,5219.59,5183.47,5215.455
2026-03-11T04:00:00+03:00,5215.45,5223.385,5194.02,5204.61
2026-03-11T08:00:00+03:00,5204.4,5210.97,5175.35,5187.695
2026-03-11T12:00:00+03:00,5187.67,5197.175,5166.835,5167.53
2026-03-11T16:00:00+03:00,5167.48,5196.315,5149.155,5175.77
2026-03-11T20:00:00+03:00,5175.84,5183.76,5154.985,5176.48
2026-03-12T00:00:00+03:00,5178.045,5178.32,5125.64,5153.205
2026-03-12T04:00:00+03:00,5153.2,5175.15,5140.62,5142.7
2026-03-12T08:00:00+03:00,5142.76,5189.86,5137.17,5178.22
2026-03-12T12:00:00+03:00,5178.205,5191.79,5163.685,5181.625
2026-03-12T16:00:00+03:00,5181.575,5186.145,5109.85,5123.55
2026-03-12T20:00:00+03:00,5123.495,5129.87,5055.125,5079.255
2026-03-13T00:00:00+03:00,5083.865,5115.4,5077.79,5113.78
2026-03-13T04:00:00+03:00,5113.95,5128.475,5102.825,5104.59
2026-03-13T08:00:00+03:00,5104.82,5111.26,5061.72,5087.55
2026-03-13T12:00:00+03:00,5087.485,5122.01,5079.94,5118.3
2026-03-13T16:00:00+03:00,5118.335,5121.265,5019.2,5046.045
2026-03-13T20:00:00+03:00,5045.955,5064.08,5009.745,5020.6
2026-03-16T00:00:00+03:00,5014.955,5031.005,4967.775,5026.005
2026-03-16T04:00:00+03:00,5026.02,5026.66,4982.675,5013.05
2026-03-16T08:00:00+03:00,5013.045,5036.01,4985.115,4991.305
2026-03-16T12:00:00+03:00,4991.135,5025.585,4970.23,5020.06
2026-03-16T16:00:00+03:00,5020.055,5038.145,4974.235,4990.74
2026-03-16T20:00:00+03:00,4990.78,5021.835,4984.015,5006.565
2026-03-17T00:00:00+03:00,5011.11,5016.185,4998.29,5003.03
2026-03-17T04:00:00+03:00,5002.91,5042.185,4994.935,5038.05
2026-03-17T08:00:00+03:00,5038.045,5044.9,5005.04,5024.95
2026-03-17T12:00:00+03:00,5024.905,5026.055,4992.06,5011.905
2026-03-17T16:00:00+03:00,5011.9,5031.59,4973.72,5002.06
2026-03-17T20:00:00+03:00,5002.05,5009.21,4996.445,5005.725
2026-03-18T00:00:00+03:00,5001.96,5012.24,4993.39,5004.32
2026-03-18T04:00:00+03:00,5004.3,5016.29,4981.83,4987.2
2026-03-18T08:00:00+03:00,4987.17,5016.53,4977.455,4987.645
2026-03-18T12:00:00+03:00,4987.645,4995.85,4870.87,4881.815
2026-03-18T16:00:00+03:00,4881.78,4894.67,4834.38,4886.95
2026-03-18T20:00:00+03:00,4887,4899.46,4806.845,4818.415
2026-03-19T00:00:00+03:00,4824.645,4848.87,4804.225,4841.38
2026-03-19T04:00:00+03:00,4841.385,4867.225,4832.995,4849.87
2026-03-19T08:00:00+03:00,4849.86,4853.885,4686.885,4709.635
2026-03-19T12:00:00+03:00,4709.64,4726.02,4531.275,4574.815
2026-03-19T16:00:00+03:00,4574.745,4649.31,4502.365,4584.95
2026-03-19T20:00:00+03:00,4584.94,4663.63,4573.915,4650.72
2026-03-20T00:00:00+03:00,4659.99,4677.205,4634.355,4648.745
